V,num_examples,model,run,test_acc,test_p_y1,test_p_hat_y1
5,16384,Low-Rank,1,0.7461,0.2695,0.0781
5,16384,Low-Rank,2,0.7812,0.2617,0.1133
5,16384,Low-Rank,3,0.7617,0.207,0.1484
5,16384,Low-Rank,4,0.7305,0.2617,0.0312
5,16384,Low-Rank,5,0.7891,0.2148,0.0508
5,16384,Standard,1,0.7656,0.2773,0.1367
5,16384,Standard,2,0.7891,0.2266,0.0703
5,16384,Standard,3,0.7461,0.2617,0.0469
5,16384,Standard,4,0.75,0.2617,0.0664
5,16384,Standard,5,0.75,0.2656,0.0312
5,32768,Low-Rank,1,0.7656,0.2344,0.0469
5,32768,Low-Rank,2,0.7461,0.2656,0.082
5,32768,Low-Rank,3,0.7422,0.2656,0.0469
5,32768,Low-Rank,4,0.8281,0.2852,0.1289
5,32768,Low-Rank,5,0.7773,0.2266,0.2227
5,32768,Standard,1,0.7031,0.3125,0.0469
5,32768,Standard,2,0.7227,0.2734,0.0273
5,32768,Standard,3,0.75,0.2656,0.0703
5,32768,Standard,4,0.7695,0.2617,0.0938
5,32768,Standard,5,0.7578,0.2422,0.0156
5,65536,Low-Rank,1,0.7305,0.2695,0.0781
5,65536,Low-Rank,2,0.7578,0.25,0.1562
5,65536,Low-Rank,3,0.7539,0.2422,0.0742
5,65536,Low-Rank,4,0.7656,0.2578,0.0703
5,65536,Low-Rank,5,0.7148,0.2891,0.0664
5,65536,Standard,1,0.75,0.2773,0.0977
5,65536,Standard,2,0.7383,0.2539,0.0234
5,65536,Standard,3,0.7344,0.2812,0.1094
5,65536,Standard,4,0.7344,0.2891,0.0391
5,65536,Standard,5,0.7344,0.2734,0.0703
